jurisdiction,official_url,notes,last_checked
Nebraska,https://www.education.ne.gov/socialstudies/standards/,Nebraska Social Studies Standards (2019; revision cycle underway).,2025-10-29
Nevada,https://doe.nv.gov/offices/office-of-teaching-and-learning/social-studies,Nevada Academic Content Standards for Social Studies (NVACS).,2025-10-29
New Hampshire,https://www.education.nh.gov/sites/g/files/ehbemt326/files/inline-documents/standards-socialstudies-framework.pdf,NH K–12 Social Studies Curriculum Framework (PDF).,2025-10-29
New Jersey,https://www.nj.gov/education/standards/socst/,New Jersey Student Learning Standards – Social Studies (2020).,2025-10-29
New Mexico,https://webnew.ped.state.nm.us/wp-content/uploads/2022/02/6.29.11.pdf,New Mexico Administrative Code 6.29.11 – Social Studies Standards (PDF).,2025-10-29
New York,https://www.nysed.gov/standards-instruction/social-studies,NYS K–12 Social Studies Framework (landing page; K–8 & 9–12 PDFs).,2025-10-29
North Carolina,https://www.dpi.nc.gov/teach-nc/curriculum-instruction/standard-course-study/social-studies,NC Standard Course of Study – Social Studies.,2025-10-29
North Dakota,https://www.nd.gov/dpi/social-studies,North Dakota Social Studies Content Standards (landing page).,2025-10-29
Ohio,https://education.ohio.gov/Topics/Learning-in-Ohio/Social-Studies/Ohio-s-Learning-Standards-for-Social-Studies,Ohio’s Learning Standards for Social Studies (landing page; PDFs linked).,2025-10-29
Oklahoma,https://sde.ok.gov/oklahoma-academic-standards,Oklahoma Academic Standards landing page (navigate to Social Studies).,2025-10-29
Oregon,https://www.oregon.gov/ode/educator-resources/standards/socialsciences/pages/standards.aspx,Oregon Social Science Standards (2018 & 2024 update).,2025-10-29
Pennsylvania,https://www.education.pa.gov/Teachers%20-%20Administrators/Curriculum/SSHG/Pages/default.aspx,PA Social Studies/History/Government – standards landing (SSHG).,2025-10-29
Rhode Island,https://ride.ri.gov/instruction-assessment/social-studies,Rhode Island Social Studies Standards (2023) landing page.,2025-10-29
South Carolina,https://ed.sc.gov/instruction/standards-learning/social-studies/,South Carolina Social Studies Academic Standards.,2025-10-29
South Dakota,https://doe.sd.gov/contentstandards/socialstudies.aspx,South Dakota Content Standards – Social Studies.,2025-10-29
Tennessee,https://www.tn.gov/education/standards/social-studies.html,Tennessee Academic Standards – Social Studies.,2025-10-29
Texas,https://tea.texas.gov/academics/subject-areas/social-studies,Texas Essential Knowledge and Skills (TEKS) – Social Studies.,2025-10-29
Utah,https://www.schools.utah.gov/curr/socialstudies,Utah Social Studies Standards (USBE).,2025-10-29
Vermont,https://education.vermont.gov/student-learning/content-areas/global-citizenship,Vermont Agency of Education – Global Citizenship (social studies standards).,2025-10-29
Virginia,https://www.doe.virginia.gov/teaching-learning-assessment/k-12-standards-instruction/history-and-social-science/standards-of-learning,Virginia History & Social Science Standards of Learning (2023).,2025-10-29
Washington,https://ospi.k12.wa.us/student-success/resources-subject-area/social-studies/social-studies-learning-standards-graduation-requirements,Washington Social Studies K–12 Learning Standards (adopted 2019).,2025-10-29
West Virginia,https://wvde.us/academics/content-standards-and-objectives/middle-secondary-learning/social-studies/,West Virginia Department of Education – Social Studies.,2025-10-29
Wisconsin,https://dpi.wi.gov/social-studies/standards,Wisconsin Social Studies Standards (DPI).,2025-10-29
Wyoming,https://edu.wyoming.gov/educators/standards/social-studies/,Wyoming Content & Performance Standards – Social Studies.,2025-10-29
